presupuesto,genero,estreno,recaudacion,duracion,titulo,puntuacion,votos,director,
237000000,Action Adventure Fantasy Science Fiction,2009,2787965087,162.0,Avatar,7.2,11800,James Cameron,
300000000,Adventure Fantasy Action,2007,961000000,169.0,Pirates of the Caribbean: At World's End,6.9,4500,Gore Verbinski,
245000000,Action Adventure Crime,2015,880674609,148.0,Spectre,6.3,4466,Sam Mendes,
250000000,Action Crime Drama Thriller,2012,1084939099,165.0,The Dark Knight Rises,7.6,9106,Christopher Nolan,
260000000,Action Adventure Science Fiction,2012,284139100,132.0,John Carter,6.1,2124,Andrew Stanton,
258000000,Fantasy Action Adventure,2007,890871626,139.0,Spider-Man 3,5.9,3576,Sam Raimi,
260000000,Animation Family,2010,591794936,100.0,Tangled,7.4,3330,Byron Howard,
280000000,Action Adventure Science Fiction,2015,1405403694,141.0,Avengers: Age of Ultron,7.3,6767,Joss Whedon,
250000000,Adventure Fantasy Family,2009,933959197,153.0,Harry Potter and the Half-Blood Prince,7.4,5293,David Yates,
250000000,Action Adventure Fantasy,2016,873260194,151.0,Batman v Superman: Dawn of Justice,5.7,7004,Zack Snyder,
270000000,Adventure Fantasy Action Science Fiction,2006,391081192,154.0,Superman Returns,5.4,1400,Bryan Singer,
200000000,Adventure Action Thriller Crime,2008,586090727,106.0,Quantum of Solace,6.1,2965,Marc Forster,
200000000,Adventure Fantasy Action,2006,1065659812,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,Gore Verbinski,
255000000,Action Adventure Western,2013,89289910,149.0,The Lone Ranger,5.9,2311,Gore Verbinski,
225000000,Action Adventure Fantasy Science Fiction,2013,662845518,143.0,Man of Steel,6.5,6359,Zack Snyder,
225000000,Adventure Family Fantasy,2008,419651413,150.0,The Chronicles of Narnia: Prince Caspian,6.3,1630,Andrew Adamson,
220000000,Science Fiction Action Adventure,2012,1519557910,143.0,The Avengers,7.4,11776,Joss Whedon,
380000000,Adventure Action Fantasy,2011,1045713802,136.0,Pirates of the Caribbean: On Stranger Tides,6.4,4948,Rob Marshall,
225000000,Action Comedy Science Fiction,2012,624026776,106.0,Men in Black 3,6.2,4160,Barry Sonnenfeld,
250000000,Action Adventure Fantasy,2014,956019788,144.0,The Hobbit: The Battle of the Five Armies,7.1,4760,Peter Jackson,
215000000,Action Adventure Fantasy,2012,752215857,136.0,The Amazing Spider-Man,6.5,6586,Marc Webb,
200000000,Action Adventure,2010,310669540,140.0,Robin Hood,6.2,1398,Ridley Scott,
250000000,Adventure Fantasy,2013,958400000,161.0,The Hobbit: The Desolation of Smaug,7.6,4524,Peter Jackson,
180000000,Adventure Fantasy,2007,372234864,113.0,The Golden Compass,5.8,1303,Chris Weitz,
207000000,Adventure Drama Action,2005,550000000,187.0,King Kong,6.6,2337,Peter Jackson,
200000000,Drama Romance Thriller,1997,1845034188,194.0,Titanic,7.5,7562,James Cameron,
250000000,Adventure Action Science Fiction,2016,1153304495,147.0,Captain America: Civil War,7.1,7241,Anthony Russo,
209000000,Thriller Action Adventure Science Fiction,2012,303025485,131.0,Battleship,5.5,2114,Peter Berg,
150000000,Action Adventure Science Fiction Thriller,2015,1513528810,124.0,Jurassic World,6.5,8662,Colin Trevorrow,
200000000,Action Adventure Thriller,2012,1108561013,143.0,Skyfall,6.9,7604,Sam Mendes,
200000000,Action Adventure Fantasy,2004,783766341,127.0,Spider-Man 2,6.7,4321,Sam Raimi,
200000000,Action Adventure Science Fiction,2013,1215439994,130.0,Iron Man 3,6.8,8806,Shane Black,
200000000,Family Fantasy Adventure,2010,1025491110,108.0,Alice in Wonderland,6.4,4645,Tim Burton,
210000000,Adventure Action Science Fiction Thriller,2006,459359555,104.0,X-Men: The Last Stand,6.3,3525,Brett Ratner,
200000000,Animation Family,2013,743559607,104.0,Monsters University,7.0,3528,Dan Scanlon,
150000000,Science Fiction Action Adventure,2009,836297228,150.0,Transformers: Revenge of the Fallen,6.0,3138,Michael Bay,
210000000,Science Fiction Action Adventure,2014,1091405097,165.0,Transformers: Age of Extinction,5.8,3095,Michael Bay,
200000000,Fantasy Adventure Family,2013,491868548,130.0,Oz: The Great and Powerful,5.7,3530,Sam Raimi,
200000000,Action Adventure Fantasy,2014,705717432,142.0,The Amazing Spider-Man 2,6.5,4179,Marc Webb,
170000000,Adventure Action Science Fiction,2010,400062763,125.0,TRON: Legacy,6.3,2841,Joseph Kosinski,
200000000,Animation Family Adventure Comedy,2011,559852396,106.0,Cars 2,5.8,2033,John Lasseter,
200000000,Adventure Action Thriller Science Fiction,2011,219851172,114.0,Green Lantern,5.1,2487,Martin Campbell,
200000000,Animation Family Comedy,2010,1066969703,103.0,Toy Story 3,7.6,4597,Lee Unkrich,
200000000,Action Science Fiction Thriller,2009,371353001,115.0,Terminator Salvation,5.9,2463,McG,
190000000,Action,2015,1506249360,137.0,Furious 7,7.3,4176,James Wan,
200000000,Action Drama Horror Science Fiction Thriller,2013,531865000,116.0,World War Z,6.7,5560,Marc Forster,
250000000,Action Adventure Fantasy Science Fiction,2014,747862775,131.0,X-Men: Days of Future Past,7.5,6032,Bryan Singer,
190000000,Action Adventure Science Fiction,2013,467365246,132.0,Star Trek Into Darkness,7.4,4418,J.J. Abrams,
195000000,Action Family Fantasy,2013,197687603,114.0,Jack the Giant Slayer,5.5,2598,Bryan Singer,
105000000,Drama Romance,2013,351040419,143.0,The Great Gatsby,7.3,3769,Baz Luhrmann,
150000000,Adventure Fantasy Action Romance,2010,335154643,116.0,Prince of Persia: The Sands of Time,6.2,2317,Mike Newell,
180000000,Action Science Fiction Adventure,2013,407602906,131.0,Pacific Rim,6.7,4794,Guillermo del Toro,
195000000,Action Science Fiction Adventure,2011,1123746996,154.0,Transformers: Dark of the Moon,6.1,3299,Michael Bay,
185000000,Adventure Action,2008,786636033,122.0,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,Steven Spielberg,
175000000,Adventure Animation Family,2015,331926147,93.0,The Good Dinosaur,6.6,1736,Peter Sohn,
185000000,Animation Adventure Comedy Family Action,2012,538983207,93.0,Brave,6.7,4641,Brenda Chapman,
185000000,Action Adventure Science Fiction,2016,343471816,122.0,Star Trek Beyond,6.6,2568,Justin Lin,
180000000,Animation Family,2008,521311860,98.0,WALL E,7.8,6296,Andrew Stanton,
140000000,Action Comedy Crime Thriller,2007,258022233,91.0,Rush Hour 3,6.1,783,Brett Ratner,
200000000,Action Adventure Science Fiction,2009,769653595,158.0,2012,5.6,4903,Roland Emmerich,
200000000,Animation Drama,2009,325233863,96.0,A Christmas Carol,6.6,1095,Robert Zemeckis,
176000003,Science Fiction Fantasy Action Adventure,2015,183987723,124.0,Jupiter Ascending,5.2,2768,Lilly Wachowski,
180000000,Action Adventure,2016,356743061,109.0,The Legend of Tarzan,5.5,2430,David Yates,
180000000,Adventure Family Fantasy,2005,748806957,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,Andrew Adamson,
178000000,Science Fiction,2016,543934787,144.0,X-Men: Apocalypse,6.4,4721,Bryan Singer,
185000000,Drama Action Crime Thriller,2008,1004558444,152.0,The Dark Knight,8.2,12002,Christopher Nolan,
175000000,Animation Comedy Family Adventure,2009,735099082,96.0,Up,7.7,6870,Pete Docter,
175000000,Animation Family Adventure Science Fiction,2009,381509870,94.0,Monsters vs Aliens,6.0,1423,Conrad Vernon,
140000000,Action Science Fiction Adventure,2008,585174222,126.0,Iron Man,7.4,8776,Jon Favreau,
170000000,Adventure Drama Family,2011,185770160,126.0,Hugo,7.0,2141,Martin Scorsese,
170000000,Action Adventure Comedy Science Fiction Western,1999,222104681,106.0,Wild Wild West,5.1,1020,Barry Sonnenfeld,
145000000,Adventure Action Fantasy,2008,401128639,112.0,The Mummy: Tomb of the Dragon Emperor,5.2,1387,Rob Cohen,
175000000,Action Adventure Crime Fantasy Science Fiction,2016,745000000,123.0,Suicide Squad,5.9,7458,David Ayer,
175000000,Fantasy Comedy Family,2007,173000000,96.0,Evan Almighty,5.3,1151,Tom Shadyac,
178000000,Action Science Fiction,2014,370541256,113.0,Edge of Tomorrow,7.6,4858,Doug Liman,
175000000,Adventure Action,1995,264218220,135.0,Waterworld,5.9,992,Kevin Reynolds,
175000000,Adventure Action Thriller Science Fiction,2009,302469017,118.0,G.I. Joe: The Rise of Cobra,5.6,1962,Stephen Sommers,
175000000,Drama Comedy Animation Family,2015,857611174,94.0,Inside Out,8.0,6560,Pete Docter,
175000000,Family Adventure Drama Fantasy,2016,966550600,106.0,The Jungle Book,6.7,2892,Jon Favreau,
200000000,Adventure Action Science Fiction,2010,623933331,124.0,Iron Man 2,6.6,6849,Jon Favreau,
170000000,Adventure Fantasy Drama,2012,396600000,127.0,Snow White and the Huntsman,5.8,3118,Rupert Sanders,
180000000,Fantasy Adventure Action Family Romance,2014,758539785,97.0,Maleficent,7.0,4496,Robert Stromberg,
170000000,Science Fiction Action Drama Thriller,2014,710644566,130.0,Dawn of the Planet of the Apes,7.3,4410,Matt Reeves,
27000000,Action Adventure Science Fiction Romance,2015,0,109.0,The Lovers,4.8,34,Roland Joff\u00e9,
175000000,Drama Action Adventure Fantasy,2013,150962475,119.0,47 Ronin,5.9,1326,Carl Rinsch,
